"History for account SchwabOne XXXX-1865 as of 10/05/2008 02:09:02 EDT for 01/01/2007 to 12/31/2007"
"Date","Action","Quantity","Symbol","Description","Price","Amount","Fees & Comm"
"11/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-46.0000",""
"11/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"11/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-39.5700",""
"11/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-202.0000",""
"11/08/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-80.0000",""
"11/06/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-9.5400",""
"11/06/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-232.0000",""
"11/05/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-11.9500",""
"11/05/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-301.7500",""
"11/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,650.0000",""
"10/30/2007","",""," ","INTEREST 09/27THRU 10/29 type: MARGIN INTEREST","","$-9.2500",""
"10/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-20.0000",""
"10/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-130.9600",""
"10/29/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-99.5100",""
"10/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-4,439.0000",""
"10/23/2007","Sell","128.7400","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$128.7400",""
"10/22/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-271.4400",""
"10/19/2007","","","SSAIX","SSGA INTL STOCK         SELECTION FUND type: CASH DIVIDEND","","$38.3200",""
"10/19/2007","","","SSAIX","SSGA INTL STOCK         SELECTION FUND type: ST CAP GAIN REINV.","","$3.5500",""
"10/19/2007","","","SSAIX","SSGA INTL STOCK         SELECTION FUND type: LT CAP GAIN REIN","","$41.2700",""
"10/19/2007","Buy","2.5600","SSAIX","SSGA INTL STOCK         SELECTION FUND type: REINVEST DIVIDEND","$14.9700","$-38.3200",""
"10/19/2007","Buy","2.7570","SSAIX","SSGA INTL STOCK         SELECTION FUND type: REINVEST DIVIDEND","$14.9700","$-41.2700",""
"10/19/2007","Buy","0.2370","SSAIX","SSGA INTL STOCK         SELECTION FUND type: REINVEST DIVIDEND","$14.9700","$-3.5500",""
"10/16/2007","","69.3100","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"10/16/2007","Sell","3,809.4000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$3,809.4000",""
"10/15/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-3,809.4000",""
"10/12/2007","Sell","49.6300","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$49.6300",""
"10/11/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-49.6300",""
"10/11/2007","Sell","1,062.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,062.5000",""
"10/10/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"10/05/2007","Sell","553.0400","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$553.0400",""
"10/04/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-553.0400",""
"10/04/2007","Buy","16.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-16.0000",""
"10/03/2007","","","HPQ","HEWLETT-PACKARD COMPANY type: QUALIFIED DIV","","$16.0000",""
"10/02/2007","Sell","2,418.7700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$2,418.7700",""
"10/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,095.6100",""
"10/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,650.0000",""
"10/01/2007","",""," ","FUNDS RECEIVED type: *DEPOSIT","","$426.8100",""
"10/01/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-99.9700",""
"10/01/2007","Sell","20.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$20.0000",""
"09/28/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-20.0000",""
"09/28/2007","Sell","15,105.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$15,105.5000",""
"09/27/2007","",""," ","JOURNAL TO 62053433 type: TRF BTWN SCH ACCTS","","$-15,000.0000",""
"09/27/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-105.5000",""
"09/27/2007","Sell","26,125.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$26,125.0000",""
"09/26/2007","",""," ","JOURNAL TO 81049758 type: TRF BTWN SCH ACCTS","","$-26,125.0000",""
"09/25/2007","Sell","2,406.7700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$2,406.7700",""
"09/24/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-15.0000",""
"09/24/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-2,380.4600",""
"09/24/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-11.3100",""
"09/21/2007","Buy","22,605.0000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$-22,605.0000",""
